"Concepte";"Nom";"Tipologia";"Superficie";"Usuaris";"Gener [kWh]";"Febrer [kWh]";"Març [kWh]";"Abril [kWh]";"Maig [kWh]";"Juny [kWh]";"Juliol [kWh]";"Agost [kWh]";"Setembre [kWh]";"Octubre [kWh]";"Novembre [kWh]";"Desembre [kWh]";"Gener[€]";"Febrer[€]";"Març[€]";"Abril[€]";"Maig[€]";"Juny[€]";"Juliol[€]";"Agost[€]";"Setembre[€]";"Octubre[€]";"Novembre[€]";"Desembre[€]"
"Total";"ANTIGA BIBLIOTECA SALVADOR ALLENDE";"Cultural";"";"0";"1.894";"1.504";"776";"422";"177";"783";"1.038";"919";"826";"595";"418";"1.290";"459";"380";"253";"185";"143";"251";"300";"278";"257";"218";"182";"346"
"Total";"CIRC FIRES";"Altres";"";"0";"170";"13";"9";"8";"5";"5";"5";"5";"6";"27";"130";"149";"102";"68";"72";"70";"71";"69";"71";"71";"69";"75";"92";"99"
"Total";"REG JARDÍ DEL DOCTOR FIGUERAS";"Altres";"";"0";"5";"5";"5";"5";"6";"5";"5";"4";"2";"1";"0";"0";"24";"23";"24";"24";"24";"24";"24";"24";"23";"23";"22";"23"
"Total";"FONT DEL FERRO";"Altres";"";"0";"11";"3";"1";"1";"7";"9";"8";"8";"6";"6";"3";"3";"16";"14";"15";"14";"16";"16";"16";"16";"15";"15";"15";"15"
"Total";"REIXA SÈQUIA MONAR MARISTES";"Altres";"";"0";"269";"230";"130";"210";"458";"576";"774";"778";"759";"803";"809";"925";"66";"58";"43";"56";"97";"116";"149";"149";"145";"153";"153";"173"
"Total";"POU MONTSERRAT";"Altres";"";"0";"86";"76";"87";"75";"84";"88";"1.637";"2.699";"2025";"89";"75";"78";"79";"73";"79";"74";"78";"77";"381";"562";"433";"79";"75";"77"
"Total";"MOTORS JARDINS DEVESA";"Altres";"";"0";"10";"9";"7";"7";"10";"9";"7";"7";"7";"8";"11";"10";"44";"41";"44";"42";"44";"43";"44";"44";"43";"44";"43";"44"
"Total";"CASETA DE LA DEVESA";"Cultural";"";"0";"60";"86";"38";"25";"25";"25";"27";"45";"56";"52";"27";"37";"71";"72";"67";"63";"65";"63";"65";"68";"68";"70";"63";"68"
"Total";"ASSOCIACIÓ VEÏNS DE LA DEVESA";"Cultural";"";"0";"4.787";"2.801";"787";"762";"788";"762";"1.864";"2.941";"2.038";"2.310";"3.911";"1.493";"754";"500";"255";"247";"255";"268";"444";"571";"423";"441";"648";"373"
"Total";"CEMENTIRI";"Altres";"";"0";"1.120";"1.152";"591";"470";"425";"357";"359";"362";"351";"622";"1051";"1.392";"213";"216";"125";"105";"98";"86";"87";"88";"85";"130";"200";"259"
"Total";"CEMENTIRI DE SANTA EUGÈNIA";"Altres";"";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"18";"17";"18";"18";"19";"19";"18";"18";"18";"18";"18";"18"
"Total";"CENTRE CULTURAL LA MERCÈ";"Cultural";"";"0";"83.098";"50.498";"20.035";"12.176";"14.298";"22.288";"24.332";"18.670";"21.097";"19.606";"36.944";"54.591";"7.756";"5.271";"2.551";"1.482";"1.773";"2.828";"3.142";"2.387";"2.667";"2.478";"3.740";"4.113"
"Total";"CENTRE CÍVIC DEL TER / BIBLIOTECA ANTÒNIA ADROHER";"Cultural";"";"0";"21.512";"17.223";"12.501";"3.877";"3.892";"10.208";"17.042";"15.342";"13.573";"13.866";"14.850";"19.266";"3.877";"3.199";"2.562";"1.358";"1.413";"2.285";"3.359";"3.179";"2.758";"2.885";"2.879";"3.523"
"Total";"CENTRE CÍVIC PLA DE PALAU / BIBLIOTECA ERNEST LLUCH";"Cultural";"";"0";"9.172";"7.563";"5.549";"1.829";"2.549";"3.984";"7.457";"6.055";"5.086";"4.936";"5.180";"7.492";"1.639";"1.304";"1.051";"593";"684";"860";"1.376";"1.164";"1.003";"985";"978";"1.284"
"Total";"CENTRE CÍVIC PONT MAJOR / BIBLIOTECA JUST M. CASERO";"Cultural";"";"0";"18.793";"11.767";"6.079";"2.358";"3.224";"5.760";"8.441";"9.598";"7.937";"8.346";"9.309";"12.859";"2.937";"1.948";"1.217";"719";"830";"1.196";"1.625";"1.753";"1.487";"1.638";"1.703";"2.184"
"Total";"CONSULTORI PONT MAJOR";"Sanitari";"";"0";"1.880";"1.185";"1036";"259";"322";"525";"660";"799";"570";"679";"1.129";"1.450";"408";"277";"253";"108";"122";"157";"184";"210";"165";"188";"268";"331"
"Total";"COOPERACIÓ";"Oficina";"";"0";"1.384";"1.475";"861";"718";"655";"713";"1064";"1.059";"1.009";"1.087";"1.233";"1.271";"269";"281";"183";"159";"150";"158";"216";"216";"206";"220";"243";"252"
"Total";"PLAÇA JURATS";"Cultural";"";"0";"4.243";"3.140";"824";"42";"44";"60";"1.821";"1.736";"261";"805";"1.183";"3.022";"851";"632";"210";"64";"66";"68";"447";"398";"105";"206";"274";"614"
"Total";"MAS ABELLA";"Cultural";"";"0";"1.278";"976";"865";"684";"774";"777";"1242";"1159";"845";"939";"968";"975";"293";"240";"217";"182";"200";"199";"286";"271";"212";"231";"234";"239"
"Total";"SERVEI MUNICIPAL D'OCUPACIÓ";"Oficina";"";"0";"34.288";"14.619";"12.091";"8.411";"7.660";"11.616";"15.350";"12.739";"11.420";"12.869";"47.648";"40.436";"3.244";"1.670";"1.461";"1.010";"930";"1.559";"2.126";"1.640";"1.461";"1.591";"3.178";"3.056"
"Total";"CASETA JARDINERS PEDRET";"Altres";"";"0";"364";"318";"134";"101";"81";"74";"90";"91";"82";"84";"227";"252";"97";"87";"59";"52";"50";"48";"52";"52";"49";"51";"73";"78"
"Total";"LOCAL SOCIAL SANT DANIEL CAN PRIMI";"Oficina";"";"0";"140";"377";"145";"120";"115";"110";"176";"188";"105";"100";"83";"84";"99";"138";"100";"93";"95";"91";"106";"108";"90";"92";"87";"89"
"Total";"FUNDACIO ESCOLA ART FLORAL";"Oficina";"";"0";"1.201";"1.128";"291";"212";"235";"231";"239";"239";"436";"474";"785";"863";"215";"202";"67";"53";"57";"56";"58";"58";"90";"96";"147";"160"
"Total";"REPETIDOR TORRE ALFONS XII";"Altres";"";"0";"156";"145";"151";"146";"148";"141";"136";"129";"136";"150";"130";"125";"68";"64";"67";"65";"67";"64";"65";"64";"64";"67";"62";"63"
"Total";"HABITATGE MUNICIPAL CAN COLOMER";"Residencial";"";"0";"406";"376";"407";"396";"409";"396";"409";"409";"397";"410";"396";"409";"94";"87";"94";"91";"95";"91";"94";"94";"92";"95";"91";"94"
"Total";"HABITATGE MUNICIPAL FONTAJAU 5- 8E 4A";"Residencial";"";"0";"158";"159";"178";"173";"123";"109";"103";"102";"121";"127";"133";"138";"45";"44";"48";"47";"39";"36";"36";"36";"38";"40";"40";"42"
"Total";"HABITATGE MUNICIPAL ST GREGORI 89- 6E 1A";"Residencial";"";"0";"77";"72";"64";"60";"53";"49";"56";"57";"50";"52";"179";"205";"32";"30";"30";"28";"28";"26";"28";"28";"27";"27";"48";"53"
"Total";"LOCAL D'INCASOL CEDIT L'ÚS A L'AJUNTAMENT";"Oficina";"";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"18";"17";"18";"18";"18";"18";"19";"19";"19";"19";"18";"18"
"Total";"ANTIGUES ESCOLES CAMPDORÀ";"Cultural";"";"0";"439";"396";"401";"355";"270";"266";"280";"251";"191";"175";"124";"118";"95";"87";"89";"81";"68";"66";"69";"65";"54";"52";"43";"44"
"Total";"CAPELLA DE SANT NICOLAU";"Cultural";"";"0";"5.208";"5.016";"3.984";"3.654";"1.789";"1361";"347";"274";"1485";"1578";"3.808";"4.019";"894";"859";"693";"638";"335";"264";"99";"87";"284";"300";"1212";"1012"
"Total";"LOCAL SOCIAL GRUP SANT DANIEL";"Oficina";"";"0";"19";"19";"18";"20";"25";"21";"17";"17";"17";"18";"19";"18";"59";"56";"59";"58";"60";"58";"59";"59";"57";"59";"57";"60"
"Total";"LOCAL SOCIAL SANT DANIEL";"Cultural";"";"0";"1.883";"1.876";"477";"343";"248";"216";"401";"436";"296";"292";"360";"385";"377";"371";"147";"123";"109";"102";"134";"140";"115";"117";"125";"132"
"Total";"LOCAL SOCIAL DE MONTJUÏC";"Cultural";"";"0";"1.257";"722";"407";"225";"228";"263";"345";"305";"304";"682";"-30";"422";"421";"278";"217";"174";"179";"182";"201";"192";"191";"228";"175";"220"
"Total";"ANTIC COM RADIO";"Cultural";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Total";"LOCAL SOCIAL DE LA TORRASSA";"Cultural";"";"0";"3.000";"1.944";"1372";"617";"325";"33";"105";"38";"41";"55";"324";"786";"610";"412";"310";"170";"118";"62";"77";"65";"64";"68";"116";"204"
"Total";"LOCAL SOCIAL MONTILIVI";"Oficina";"";"0";"1.579";"1.328";"842";"731";"732";"685";"620";"590";"563";"560";"554";"914";"349";"300";"224";"202";"206";"195";"187";"183";"175";"177";"174";"242"
"Total";"OFICINA MUNICIPAL HABITATGE";"Oficina";"";"0";"8.404";"7.567";"1.097";"10.427";"409";"414";"645";"697";"1436";"5.762";"6.947";"9.222";"609";"558";"196";"665";"162";"160";"201";"209";"243";"435";"476";"581"
"Total";"HABITATGE MUNICIPAL ST. GREGORI 89- 5E 4A";"Residencial";"";"0";"1.386";"1.188";"999";"772";"745";"640";"680";"708";"709";"774";"865";"1.027";"120";"106";"98";"84";"84";"76";"78";"78";"75";"78";"82";"91"
"Total";"AJUNTAMENT";"Oficina";"";"0";"131.835";"104.921";"50.412";"35.245";"65.160";"79.510";"91.839";"63.916";"50.861";"67.291";"98.742";"122.957";"12.296";"10.153";"7.275";"5.806";"7.555";"9.025";"11.004";"9.269";"7.886";"7.892";"9.340";"11.072"
"Total";"LOCAL D'INCASOL CEDIT L'ÚS A L'AJUNTAMENT";"Oficina";"";"0";"7";"7";"2";"1";"1";"2";"4";"4";"5";"6";"2";"1";"20";"19";"19";"19";"19";"19";"20";"20";"19";"20";"19";"19"
"Total";"CINEMA TRUFFAUT - RÀDIO";"Cultural";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Total";"HOTEL INFORM";"Oficina";"";"0";"164";"121";"132";"113";"12";"62";"237";"215";"121";"112";"54";"53";"70";"60";"64";"60";"45";"51";"81";"78";"61";"61";"50";"51"
"Total";"ANTIGA CASA PASTORA";"Oficina";"";"0";"152";"54";"37";"33";"33";"32";"32";"32";"81";"83";"79";"81";"62";"44";"43";"41";"42";"41";"42";"42";"49";"51";"49";"50"
"Total";"POLICIA MUNICIPAL";"Oficina";"";"0";"48.941";"52.641";"12.006";"42.506";"73.631";"33.595";"23.593";"24.454";"21.666";"35.503";"52.330";"72.467";"4.662";"4.079";"1.383";"3.323";"5.508";"3.403";"3.211";"3.237";"2.730";"3.160";"3.798";"4.730"
"Total";"ESCOLA MIGDIA";"Educació";"";"0";"18.073";"17.160";"15.998";"14.022";"14.100";"14.079";"14.855";"14.851";"16.878";"235.072";"-52.663";"-54.446";"1.918";"1.826";"1.631";"1.387";"1.384";"1.401";"1.488";"1.489";"1.782";"11.641";"-1.484";"-1.536"
"Total";"ESCOLA STA. EUGÈNIA";"Educació";"";"0";"7.758";"7.303";"5.983";"5.585";"5.684";"5.488";"5.437";"5.423";"6.557";"6.873";"7.543";"7.880";"879";"829";"588";"536";"539";"520";"499";"497";"694";"733";"856";"898"
"Total";"ESCOLA DALMAU CARLES";"Educació";"";"0";"18.017";"17.318";"16.682";"14.441";"14.989";"15.248";"15.376";"14.680";"16.947";"27.691";"35.150";"34.969";"1.797";"1.748";"1.639";"1.376";"1.430";"1.479";"1.487";"1.399";"1.706";"2.092";"2.289";"2.196"
"Total";"ESCOLA MARE DE DEU DEL MONT";"Educació";"";"0";"34.032";"18.320";"18.862";"15.476";"16.912";"17.598";"17.201";"16.911";"17.927";"29.411";"31.717";"32.647";"2.799";"1.608";"1.620";"1.225";"1.371";"1.473";"1.412";"1.374";"1.535";"1.846";"1.926";"1.984"
"Total";"ESCOLA VILA-ROJA";"Educació";"";"0";"4.983";"4.110";"2.334";"52";"1.855";"1.991";"2.123";"4.863";"-2.294";"451";"2.453";"2.843";"734";"684";"615";"334";"561";"565";"598";"948";"807";"603";"625";"688"
"Total";"ESCOLA PLA DE GIRONA";"Educació";"";"0";"50.405";"32.956";"19.178";"15.356";"15.570";"16.201";"16.252";"15.876";"19.778";"22.176";"22.565";"20.903";"4.493";"3.126";"1.943";"1.435";"1.449";"1.554";"1.545";"1.495";"2.028";"2.369";"2.385";"2.143"
"Total";"ESCOLA FONT DE LA POLVORA";"Educació";"";"0";"13.172";"17.378";"17.655";"15.108";"17.333";"16.972";"16.564";"16.566";"16.029";"17.129";"17.719";"18.075";"1.383";"1.500";"1.474";"1.194";"1.451";"1.426";"1.340";"1.340";"1.299";"1.423";"1.516";"1.544"
"Total";"ESCOLA MONTJUÏC";"Educació";"";"0";"20.532";"19.585";"4.593";"7";"3.257";"10.322";"6228";"3.692";"2.554";"11.140";"21.254";"21.080";"1.541";"1.506";"507";"274";"438";"1161";"685";"567";"608";"1068";"1.452";"1.375"
